"lat","lng","county"
48.8667,-123.2833,"NA"
48.7833,-123.1333,"NA"
48.7833,-123.1333,"NA"
48.7833,-123.05,"NA"
48.0333,-123.3333,"Clallam County"
53.5,-132.1333,"NA"
53.3667,-131.9333,"NA"
54.25,-133.05,"NA"
54.25,-133.0667,"NA"
54.0333,-132.1333,"NA"
54,-132.1667,"NA"
54.0333,-132.1833,"NA"
54.0333,-132.0667,"NA"
54.0333,-131.9667,"NA"
52.9333,-132.1333,"NA"
53.05,-132.05,"NA"
53.6833,-132.1833,"NA"
53.25,-132.0833,"NA"
53.3,-132.4167,"NA"
54.1667,-131.6667,"NA"
53.5,-131.95,"NA"
53.7667,-132.3,"NA"
56.4667,-130.1667,"NA"
56.65,-130.45,"NA"
49.0167,-122.3333,"NA"
49.0333,-122.3,"NA"
49,-123.0833,"Whatcom County"
49.0167,-123.1,"NA"
49.0167,-123.1,"NA"
49,-122.2167,"Whatcom County"
49.05,-122.1333,"NA"
49.0667,-118.9333,"NA"
49.05,-119.0667,"NA"
49.0833,-115.0667,"NA"
49.0167,-115.15,"NA"
49.0167,-115.0833,"NA"
59.5667,-133.7,"NA"
58.2167,-132.2667,"NA"
56.9667,-130.25,"NA"
56.6667,-131.1,"NA"
57.1167,-131.45,"NA"
59.6,-134.1833,"NA"
59.5167,-136.4667,"NA"
58.65,-131.7167,"NA"
57.5333,-130.2,"NA"
59.7833,-135.0833,"NA"
59.7833,-136.6,"NA"
59.45,-136.3667,"Haines Borough"
58.8,-133.1,"NA"
57.35,-131,"NA"
57.9,-131.1667,"NA"
57.9,-131.3333,"NA"
57.6,-130.0667,"NA"
58.7,-133.6333,"NA"
59.7167,-135.05,"NA"
56.7333,-131.6667,"NA"
56.6333,-131.0833,"NA"
60.0167,-132.1667,"NA"
49.05,-111.3167,"NA"
49.25,-110.0167,"NA"
49,-111.95,"NA"
49.0333,-111.85,"NA"
49.0667,-111.55,"NA"
49.1167,-110.4667,"NA"
49.1333,-111.65,"NA"
49.1333,-111.65,"NA"
49.1333,-112.05,"NA"
49.0833,-112.05,"NA"
49.1167,-110.4667,"NA"
49.0833,-111.6167,"NA"
49.4667,-104.6,"NA"
49.3833,-104.65,"NA"
49,-101.6333,"NA"
49.3,-101.5333,"NA"
49.4833,-105.0333,"NA"
49.3333,-104.75,"NA"
49.0667,-104.25,"NA"
49,-102.2667,"NA"
49.15,-103.75,"NA"
49.0833,-103.5,"NA"
49.3833,-105.1333,"NA"
49.0167,-105.0167,"NA"
49.1333,-109.1,"NA"
49.1167,-105.5167,"NA"
49.2667,-105.6,"NA"
49.05,-105.4833,"NA"
49,-105.4167,"NA"
49,-106.95,"Valley County"
49.1667,-104.5833,"NA"
49.2,-109.5167,"NA"
49,-108.3833,"NA"
49.0667,-107.5833,"NA"
49.0167,-109.9167,"NA"
49.0833,-109.8167,"NA"
49.05,-99.4167,"NA"
49.05,-98.9667,"NA"
49.1667,-96.9833,"NA"
49.2,-95.3167,"NA"
49.1167,-98.8,"NA"
49.2,-98.8833,"NA"
49.1833,-98.9,"NA"
49.2,-98.9,"NA"
49.0833,-95.9833,"NA"
49.0333,-96,"NA"
49.0667,-98.65,"NA"
49.0167,-95.6,"NA"
49.0167,-95.6,"NA"
49.1333,-96.7833,"NA"
49.0167,-96.2333,"NA"
49.0667,-96.8,"NA"
49.0833,-98.65,"NA"
49.2833,-95.75,"NA"
49.6333,-95.5667,"NA"
49.6,-95.6167,"NA"
49.6833,-95.3667,"NA"
49.6167,-95.2,"NA"
48.6333,-93.9667,"Koochiching County"
48.95,-94.35,"NA"
48.5167,-93.75,"NA"
48.6333,-93.6667,"NA"
48.6333,-93.8,"NA"
48.75,-93.8833,"NA"
48.65,-93.4333,"NA"
48.6167,-93.4167,"NA"
48.65,-93.4333,"NA"
48.55,-93.5167,"NA"
48.7167,-94.5333,"NA"
48.7667,-94.6667,"NA"
48.7167,-94.4167,"NA"
48.7833,-94.05,"NA"
48.85,-94.0167,"NA"
48.7,-94.1667,"NA"
48.75,-93.85,"NA"
48.7333,-94.6167,"Lake of the Woods County"
48.6833,-93.8333,"NA"
49.8167,-95.15,"NA"
49.8,-94.5333,"NA"
49.7833,-94.3833,"NA"
49.7833,-94.3667,"NA"
49.7833,-94.3667,"NA"
49.7833,-94.4833,"NA"
49.9833,-94.6667,"NA"
49.4833,-93.9667,"NA"
49.4833,-93.9667,"NA"
48.6167,-90.5833,"NA"
47.3333,-85.8333,"NA"
47.3333,-85.8333,"NA"
48.6,-90.6,"NA"
48.4667,-90.7167,"NA"
48.1333,-90.5667,"NA"
46.5333,-84.5,"NA"
46.4833,-84.5167,"NA"
46.4833,-84.5167,"NA"
46.5,-84.3667,"Chippewa County"
46.4667,-84.4667,"NA"
45.65,-82.9667,"NA"
45.6333,-82.95,"NA"
44.8,-75.3667,"NA"
45.0167,-75.2,"NA"
44.4167,-75.85,"NA"
44.5,-76.0333,"NA"
44.4,-76,"NA"
44.45,-75.8667,"NA"
44.9167,-75.1833,"NA"
42.7667,-82.45,"NA"
42.95,-82.4333,"St. Clair County"
42.3,-82.7,"NA"
42.55,-80.05,"NA"
42.5667,-80.05,"NA"
43.0667,-79.05,"NA"
43.25,-79.1333,"NA"
41.75,-82.6833,"NA"
41.7833,-82.6833,"NA"
41.7833,-82.6833,"NA"
42.1667,-82.6333,"NA"
41.8333,-82.4667,"NA"
42.3333,-82.9333,"NA"
42.3333,-83.0167,"Wayne County"
42.3,-83.0667,"NA"
42.2167,-82.7333,"NA"
42.2167,-82.7333,"NA"
41.95,-82.5167,"NA"
43.25,-79.0667,"NA"
41.95,-82.5167,"NA"
45.0333,-72.6667,"NA"
45.0833,-71.5,"NA"
45.05,-73.5833,"NA"
45.0333,-73.0833,"NA"
45.0167,-72.1,"NA"
45.0667,-72.6833,"NA"
46.7167,-67.7167,"NA"
45.5,-67.1167,"NA"
47.0667,-67.3,"NA"
47.05,-67.7333,"NA"
47.0333,-67.7,"NA"
44.7333,-66.7667,"NA"
44.7167,-66.8,"NA"
47.0667,-66.9333,"NA"
45.5833,-67.3333,"NA"
45.1667,-67.3,"Washington County"
47.2333,-67.15,"NA"
46.9,-67.4,"NA"
46.9,-67.3833,"NA"
47.1833,-67.2,"NA"
45.2167,-67.25,"NA"
45.1833,-67.2667,"Washington County"
45.2167,-67.25,"NA"
47.2667,-67.25,"NA"
44.6,-66.9,"NA"
46.7833,-67.6833,"NA"
45.3167,-67.2167,"NA"
46.15,-67.5667,"NA"
47.35,-68.1833,"NA"
47.3667,-68.2833,"NA"
44.65,-66.8333,"NA"
57.8858,-131.2275,"NA"
49.0195,-123.0976,"NA"
49.0087,-97.2054,"NA"
49.2387,-98.679,"NA"
49.022,-95.9566,"NA"
49.0874,-96.1356,"NA"
49.0107,-96.1651,"NA"
49.0948,-96.7545,"NA"
49.7441,-95.1912,"NA"
49.03,-95.6228,"NA"
49.2023,-98.8932,"NA"
45.194,-67.3225,"NA"
47.057,-67.7263,"NA"
45.0641,-66.8216,"NA"
45.1828,-67.2949,"NA"
45.1881,-67.2943,"NA"
44.6778,-66.7675,"NA"
45.0936,-66.7139,"NA"
46.9831,-67.3253,"NA"
48.7628,-93.8036,"NA"
42.2469,-83.0804,"NA"
42.3266,-82.8873,"NA"
44.791,-75.3822,"NA"
42.2966,-82.7591,"NA"
42.3184,-82.8606,"NA"
42.2935,-82.6912,"NA"
42.0769,-82.5974,"NA"
42.316,-82.8801,"NA"
42.0601,-82.6069,"NA"
42.3064,-82.9203,"NA"
42.1239,-82.5559,"NA"
42.3139,-82.8801,"NA"
42.326,-82.8766,"NA"
42.2163,-82.7047,"NA"
42.3206,-82.8779,"NA"
42.3217,-82.9006,"NA"
42.2946,-82.761,"NA"
42.3289,-82.8781,"NA"
42.3193,-82.873,"NA"
42.3179,-82.8831,"NA"
42.245,-82.8046,"NA"
42.6656,-82.3453,"NA"
42.7901,-82.4011,"NA"
42.8383,-82.3643,"NA"
44.9232,-75.2039,"NA"
41.752,-82.6699,"NA"
42.6532,-82.3481,"NA"
42.2159,-83.0925,"NA"
42.2128,-83.0605,"NA"
45.0363,-74.9928,"NA"
42.2814,-82.8737,"NA"
45.0263,-73.088,"NA"
49.358,-104.4954,"NA"
16.7333,-169.5167,"NA"
16.7333,-169.5333,"NA"
16.7333,-169.5167,"NA"
16.7333,-169.5167,"NA"
28.2167,-177.35,"NA"
28.2,-177.3833,"NA"
29.45,-101.0833,"NA"
30.9833,-105.5667,"NA"
29.55,-104.3833,"Presidio County"
29.3833,-104.1667,"NA"
28.9167,-104.3333,"NA"
29.1,-103.9,"NA"
31.3333,-106.4667,"NA"
31.35,-106.4667,"NA"
31.65,-107.0833,"NA"
31.4667,-111.5333,"NA"
31.3333,-109.95,"NA"
26.25,-98.7167,"NA"
26.1833,-98.4667,"NA"
26.0833,-98.2667,"NA"
25.8333,-97.4333,"NA"
18.3794,-66.5153,"Manatí Municipio"
43.7333,-96.6333,"Minnehaha County"
40.5268,-105.1113,"Larimer County"
40.568,-98.5069,"Adams County"
40.5093,-98.5493,"Adams County"
40.4663,-98.6537,"Adams County"
40.4798,-98.4026,"Adams County"
40.4372,-98.5912,"Adams County"
40.5389,-98.4713,"Adams County"
40.4953,-98.2973,"Adams County"
40.5532,-98.6297,"Adams County"
40.4078,-98.6161,"Adams County"
40.62,-98.39,"Adams County"
40.66,-98.42,"Adams County"
40.6258,-98.7034,"Adams County"
40.64,-98.3949,"Adams County"
40.6567,-98.4789,"Adams County"
40.6114,-98.5543,"Adams County"
40.5936,-98.4299,"Adams County"
40.5981,-98.4732,"Adams County"
40.3901,-98.2715,"Clay County"
40.6004,-98.3986,"Adams County"
40.5998,-98.4723,"Adams County"
40.4653,-98.6517,"Adams County"
40.5536,-98.3166,"Adams County"
40.3571,-98.4208,"Adams County"
40.4127,-98.3538,"Adams County"
40.6129,-98.6482,"Adams County"
40.607,-98.4588,"Adams County"
40.5609,-98.402,"Adams County"
40.602,-98.4048,"Adams County"
40.434,-98.4389,"Adams County"
40.5917,-98.5092,"Adams County"
40.6121,-98.3888,"Adams County"
40.5443,-98.4208,"Adams County"
40.5917,-98.4287,"Adams County"
40.4166,-98.5341,"Adams County"
40.5551,-98.3538,"Adams County"
40.5949,-98.427,"Adams County"
40.58,-98.3717,"Adams County"
40.6607,-98.5535,"Adams County"
42.3374,-98.2405,"Antelope County"
41.3955,-101.4074,"Arthur County"
41.6581,-103.6151,"Banner County"
41.6415,-103.9481,"Banner County"
41.5589,-103.7407,"Banner County"
41.5037,-103.7634,"Banner County"
41.6363,-103.6842,"Banner County"
41.6804,-103.6852,"Banner County"
41.9138,-99.9644,"Blaine County"
41.7609,-100.2353,"Blaine County"
41.9043,-100.2657,"Blaine County"
42.0189,-100.1227,"Blaine County"
42.0715,-100.0649,"Blaine County"
41.803,-100.2225,"Blaine County"
41.9224,-99.7449,"Blaine County"
41.8838,-100.174,"Blaine County"
41.8194,-100.1071,"Blaine County"
41.7495,-99.7601,"Blaine County"
41.5249,-97.9933,"Boone County"
41.7571,-98.2343,"Boone County"
41.684,-97.9872,"Boone County"
41.6402,-97.9951,"Boone County"
41.502,-98.158,"Boone County"
41.8655,-98.2295,"Boone County"
41.6273,-98.2379,"Boone County"
41.6685,-97.8945,"Boone County"
41.6689,-98.1166,"Boone County"
41.8518,-98.0448,"Boone County"
42.1911,-102.9518,"Box Butte County"
42.017,-102.9953,"Box Butte County"
42.1486,-102.749,"Box Butte County"
42.3195,-103.0705,"Box Butte County"
42.3653,-102.9952,"Box Butte County"
42.1675,-102.8005,"Box Butte County"
42.2712,-103.141,"Box Butte County"
42.3968,-102.8848,"Box Butte County"
42.116,-103.4295,"Box Butte County"
42.1138,-102.8901,"Box Butte County"
42.2981,-102.8596,"Box Butte County"
42.3167,-103.0787,"Box Butte County"
42.4093,-102.7894,"Box Butte County"
42.3263,-102.9934,"Box Butte County"
42.2357,-103.3072,"Box Butte County"
42.9095,-98.8492,"Boyd County"
42.9141,-98.6603,"Boyd County"
42.9096,-98.8428,"Boyd County"
42.5359,-99.7092,"Brown County"
42.636,-100.015,"Brown County"
42.5375,-100.1208,"Brown County"
42.6748,-99.7695,"Brown County"
42.5718,-100.0545,"Brown County"
42.6988,-100.0668,"Brown County"
42.3248,-100.061,"Brown County"
42.3171,-100.0112,"Brown County"
40.7826,-99.1023,"Buffalo County"
40.7062,-99.1142,"Buffalo County"
40.9445,-98.8465,"Buffalo County"
40.6908,-99.094,"Buffalo County"
40.8588,-98.9216,"Buffalo County"
40.9223,-99.3868,"Buffalo County"
40.9903,-98.8699,"Buffalo County"
40.9593,-98.9631,"Buffalo County"
40.9789,-99.0637,"Buffalo County"
40.7725,-98.7306,"Buffalo County"
40.7494,-98.8479,"Buffalo County"
40.6995,-99.4062,"Buffalo County"
40.8477,-99.3277,"Buffalo County"
40.7236,-99.1035,"Buffalo County"
40.665,-99.0852,"Buffalo County"
40.9728,-98.8024,"Buffalo County"
40.7407,-99.0647,"Buffalo County"
40.7412,-99.1602,"Buffalo County"
40.8144,-98.8403,"Buffalo County"
40.7853,-99.1653,"Buffalo County"
40.8153,-98.8355,"Buffalo County"
41.7267,-96.1557,"Burt County"
41.6965,-96.3619,"Burt County"
41.8593,-96.4701,"Burt County"
41.7859,-96.4065,"Burt County"
41.1229,-97.367,"Butler County"
41.219,-97.349,"Butler County"
41.185,-97.2542,"Butler County"
41.158,-96.9952,"Butler County"
41.2963,-97.3493,"Butler County"
41.3221,-97.3465,"Butler County"
41.3565,-97.2356,"Butler County"
41.0706,-97.3672,"Butler County"
41.2557,-97.1301,"Butler County"
40.9946,-95.8976,"Cass County"
40.865,-96.1171,"Cass County"
40.8048,-96.4467,"Cass County"
41.0289,-95.9874,"Cass County"
42.628,-97.27,"Cedar County"
42.7652,-97.3027,"Cedar County"
42.4974,-97.4279,"Cedar County"
42.6983,-97.4464,"Cedar County"
42.8151,-97.4648,"Cedar County"
42.4971,-97.2691,"Cedar County"
42.6702,-97.1716,"Cedar County"
42.5654,-97.1363,"Cedar County"
42.7432,-97.1706,"Cedar County"
42.8013,-97.368,"Cedar County"
42.5044,-97.2076,"Cedar County"
42.6702,-97.1716,"Cedar County"
42.3951,-97.0319,"Cedar County"
42.3722,-97.3592,"Cedar County"
42.5973,-97.022,"Cedar County"
42.6787,-97.4261,"Cedar County"
42.7043,-97.3915,"Cedar County"
42.8092,-97.2482,"Cedar County"
42.7285,-97.2466,"Cedar County"
40.5158,-101.6451,"Chase County"
40.4629,-101.5907,"Chase County"
40.4085,-101.6227,"Chase County"
40.6257,-101.5369,"Chase County"
40.5495,-101.7773,"Chase County"
