"id","state","name"
"CA001010066","Washington","BC ACTIVE PASS"
"CA001017098","Washington","BC SATURNA CAPMON"
"CA001017099","Washington","BC SATURNA CAPMON CS"
"CA001017101","Washington","BC SATURNA ISLAND CS"
"CA001018611","Washington","BC VICTORIA GONZALES CS"
"CA001051630","Alaska","BC CINOLA MINE SITE"
"CA001052310","Alaska","BC DEAD TREE POINT"
"CA001054500","Alaska","BC LANGARA"
"CA001054503","Alaska","BC LANGARA ISLAND RCS"
"CA001054920","Alaska","BC MASSET AIRPORT"
"CA001054925","Alaska","BC MASSET A"
"CA001054926","Alaska","BC MASSET INDIAN DAY SCHOOL"
"CA0010549BN","Alaska","BC MASSET CFS"
"CA001054RKF","Alaska","BC MASSET TOW HILL"
"CA0010551R8","Alaska","BC MORESBY ISLAND MITCHELL INLET"
"CA001055950","Alaska","BC PALLANT CREEK"
"CA001056250","Alaska","BC PORT CLEMENTS"
"CA001056590","Alaska","BC QUEEN CHARLOTTE CITY"
"CA001056742","Alaska","BC RENNELL SOUND"
"CA001056869","Alaska","BC ROSE SPIT (AUT)"
"CA001058190","Alaska","BC TLELL"
"CA00105PA91","Alaska","BC SEWALL MASSET INLET"
"CA001071092","Alaska","BC BRUCEJACK LAKE"
"CA001078L3D","Alaska","BC UNUK RIVER ESKAY CREEK"
"CA001100015","Washington","BC ABBOTSFORD"
"CA001100037","Washington","BC ABBOTSFORD KING ROAD"
"CA001102420","Washington","BC DELTA PEBBLE HILL"
"CA001102424","Washington","BC DELTA TSAWWASSEN"
"CA001102425","Washington","BC DELTA TSAWWASSEN BEACH"
"CA001103635","Washington","BC HUNTINGDON METER STATION"
"CA001107788","Washington","BC SUMAS PRAIRIE"
"CA001134130","Washington","BC KETTLE VALLEY BCFS"
"CA001136815","Washington","BC ROCK CREEK WEST"
"CA001153282","Montana","BC GRASMERE"
"CA001155490","Montana","BC NEWGATE"
"CA001158200","Montana","BC TOBACCO PLAINS"
"CA001200560","Alaska","BC ATLIN"
"CA001200730","Alaska","BC BEARSKIN LAKE"
"CA001200R0J","Alaska","BC BOB QUINN AGS"
"CA001201086","Alaska","BC BRONSON CREEK"
"CA001203046","Alaska","BC GALORE CREEK"
"CA001203255","Alaska","BC GRAHAM INLET"
"CA001203315","Alaska","BC HAINES APPS NO"
"CA0012033M0","Alaska","BC HATIN LAKE"
"CA001204215","Alaska","BC KINASKAN LAKE"
"CA001204632","Alaska","BC LINDEMAN CITY"
"CA001205248","Alaska","BC MULE CREEK"
